"sample_id","anem_id","old_anem_id"
"APCL15_352991",2085,NA
"APCL15_403055",2086,NA
"APCL15_060",2087,NA
"APCL15_403319",1092,NA
"APCL15_403370",2088,NA
"APCL15_404510",2089,NA
"APCL15_402980",1313,NA
"APCL15_401884",1272,NA
"APCL15_062",1273,NA
"APCL15_402486",2090,NA
"APCL15_403736",2091,NA
"APCL15_405746",1289,NA
"APCL15_407280",2092,NA
"APCL15_372624",2093,NA
"APCL15_063",2094,NA
"APCL15_355444",1316,NA
"APCL15_356492",NA,NA
"APCL15_354420",1357,NA
"APCL15_356529",2095,NA
"APCL15_371638",2096,NA
