"anem_table_id","sample_id","size","anem_id","old_anem_id"
360,"APCL16_196",5.1,2272,NA
361,"APCL16_198",9,2274,NA
362,"APCL16_202",10.4,1351,NA
365,"APCL16_204",9.4,2275,NA
366,"APCL16_206",3.5,2276,NA
373,"APCL16_209",4.9,227,NA
383,"APCL16_215",4.5,2281,NA
387,"APCL16_217",6.8,2282,NA
391,"APCL16_220",9.3,2284,1080
406,"APCL16_225",6.8,2287,NA
408,"APCL16_227",7.9,2288,NA
428,"APCL16_232",4,2291,NA
430,"APCL16_234",8.6,NA,NA
432,"APCL16_236",8.5,NA,NA
435,"APCL16_239",4.4,2292,NA
439,"APCL16_242",5.9,NA,NA
476,"APCL16_245",7.1,2038,NA
482,"APCL16_247",8.3,NA,NA
503,"APCL16_255",7.4,2029,NA
505,"APCL16_258",8.7,2294,NA
513,"APCL16_265",6,2295,688
514,"APCL16_267",9.3,2296,696
515,"APCL16_269",7.1,2297,1326
518,"APCL16_271",4.8,2298,NA
519,"APCL16_273",6.1,2299,NA
521,"APCL16_275",10.5,2300,NA
532,"APCL16_280",10,2304,704
533,"APCL16_282",9.6,2305,NA
535,"APCL16_284",8,1304,NA
536,"APCL16_286",10.5,2306,701
540,"APCL16_291",9.3,2309,NA
545,"APCL16_296",9,2312,NA
546,"APCL16_298",8.7,2313,NA
551,"APCL16_302",5.2,2316,NA
552,"APCL16_304",5.8,2317,NA
561,"APCL16_307",8.2,2318,377
563,"APCL16_309",8.4,51,NA
565,"APCL16_312",9,NA,NA
568,"APCL16_314",7.8,NA,NA
570,"APCL16_316",5.5,NA,NA
573,"APCL16_318",7,2401,NA
574,"APCL16_324",10.2,NA,NA
585,"APCL16_330",4.9,2402,NA
601,"APCL16_335",3.7,2406,1091
604,"APCL16_339",6.6,2408,NA
605,"APCL16_342",5.6,2409,NA
606,"APCL16_344",8.2,2087,NA
608,"APCL16_346",3.5,2410,NA
612,"APCL16_348",6.3,2131,NA
617,"APCL16_352",8.8,2412,1092
618,"APCL16_358",6.1,NA,NA
619,"APCL16_364",5.4,NA,NA
620,"APCL16_370",8.1,NA,NA
632,"APCL16_377",4.1,1098,NA
654,"APCL16_379",3.8,2417,NA
658,"APCL16_383",8.7,2418,NA
663,"APCL16_386",5.2,2419,NA
668,"APCL16_389",8.6,2420,NA
688,"APCL16_395",8,2421,NA
708,"APCL16_401",8.8,2422,NA
709,"APCL16_406",8.2,NA,NA
748,"APCL16_411",10.2,2423,NA
749,"APCL16_417",5.1,NA,NA
793,"APCL16_425",8.5,2424,523
809,"APCL16_429",8.2,NA,NA
819,"APCL16_431",4.3,2425,512
820,"APCL16_433",5.6,2426,NA
862,"APCL16_439",10.6,2428,NA
874,"APCL16_445",8.8,2431,1116
879,"APCL16_448",9.2,2433,938
891,"APCL16_456",3.9,2437,NA
893,"APCL16_466",6,2444,934
894,"APCL16_460",7.7,2441,NA
895,"APCL16_463",7.9,2442,NA
900,"APCL16_469",8.6,2445,472
902,"APCL16_472",8.1,2446,NA
903,"APCL16_474",8.9,2447,954
904,"APCL16_481",5.8,2448,955
905,"APCL16_486",7.4,NA,NA
906,"APCL16_492",6.6,NA,NA
908,"APCL16_497",8.6,2449,NA
909,"APCL16_501",9.2,2450,936
910,"APCL16_500",5.1,2451,NA
913,"APCL16_505",5.3,2453,NA
933,"APCL16_513",7.5,2462,NA
935,"APCL16_518",8.9,2464,NA
939,"APCL16_520",8.6,2465,601
941,"APCL16_523",8,2469,NA
943,"APCL16_525",4.9,2060,NA
948,"APCL16_530",7.4,2471,NA
963,"APCL16_479",9.4,2473,597
964,"APCL16_538",3.5,NA,NA
972,"APCL16_543",8,2474,NA
975,"APCL16_545",9.6,2476,595
978,"APCL16_548",4.9,2479,NA
979,"APCL16_550",8,2480,1122
980,"APCL16_552",3.5,2481,NA
986,"APCL16_558",5.7,2483,NA
987,"APCL16_559",8.1,2484,1119
989,"APCL16_561",8.3,2477,873
1001,"APCL16_567",8.6,2490,428
1005,"APCL16_572",7.7,423,NA
1011,"APCL16_581",4.3,2495,NA
1013,"APCL16_578",7.2,2494,NA
1014,"APCL16_583",6,2495,240
1016,"APCL16_586",6.9,2498,NA
1020,"APCL16_589",8,2069,NA
1021,"APCL16_593",9.2,2500,NA
1026,"APCL16_599",7.3,2501,NA
1027,"APCL16_601",9.4,2072,NA
1035,"APCL16_609",8.7,2503,691
1036,"APCL16_616",5.5,NA,NA
1047,"APCL16_621",10.4,2504,NA
1054,"APCL16_628",9,2505,930
1055,"APCL16_635",6.6,NA,NA
1064,"APCL16_644",9.7,2507,NA
1070,"APCL16_647",5.8,2509,NA
1071,"APCL16_654",7.6,NA,NA
1072,"APCL16_661",8.8,NA,NA
1091,"APCL16_665",8.3,2512,NA
1093,"APCL16_668",4.9,2514,NA
1094,"APCL16_670",5.6,2515,NA
1098,"APCL16_672",4.5,2516,NA
1129,"APCL16_679",4.8,2522,NA
1137,"APCL16_683",8.9,2525,NA
1143,"APCL16_689",5.2,2149,NA
1148,"APCL16_694",9.2,2530,NA
1149,"APCL16_696",9.7,2153,NA
1152,"APCL16_699",7.9,2531,NA
1154,"APCL16_700",5.8,2532,NA
1159,"APCL16_704",5.3,2157,NA
1160,"APCL16_711",6.4,NA,NA
1166,"APCL16_714",7.9,2536,NA
1168,"APCL16_716",6.2,2537,NA
1178,"APCL16_725",4.5,2544,738
1182,"APCL16_728",4,2545,NA
1188,"APCL16_732",6.7,2548,741
1194,"APCL16_736",8,2548,NA
1195,"APCL16_740",6.8,2551,781
1196,"APCL16_742",5,2552,NA
1200,"APCL16_743",6.4,2553,NA
1204,"APCL16_746",6.4,2161,NA
1206,"APCL16_748",12.3,2135,NA
1208,"APCL16_757",11.9,2554,NA
1212,"APCL16_759",6.9,2557,NA
1213,"APCL16_761",7.8,2559,NA
1215,"APCL16_764",9.6,2564,NA
1216,"APCL16_767",12.7,2560,757
1223,"APCL16_776",9.6,2203,NA
1226,"APCL16_777",10,2010,NA
1243,"APCL16_784",9,2216,NA
1248,"APCL16_787",9.4,2222,NA
1249,"APCL16_789",10.4,2218,NA
1251,"APCL16_792",9,881,NA
1257,"APCL16_797",9,2578,NA
1267,"APCL16_800",10.7,2036,NA
1287,"APCL16_804",6.7,2037,NA
1297,"APCL16_806",9,2579,NA
1316,"APCL16_815",5.1,NA,NA
22,"APCL16_005",6.1,2177,494
25,"APCL16_008",6,2178,402
48,"APCL16_018",6.5,2183,NA
91,"APCL16_042",3.5,1033,NA
92,"APCL16_043",6.5,2005,NA
101,"APCL16_050",4.4,495,NA
119,"APCL16_061",6.3,2200,NA
122,"APCL16_073",5.8,2014,NA
126,"APCL16_067",11,2201,960
131,"APCL16_077",7.2,2206,128
277,"APCL16_143",5.4,2243,389
279,"APCL16_148",4,2246,849
